     0.100119431, 8646, , cache-misses, 100037667, 100.00, 0.035, of all cache refs
     0.100119431, 24412114, , cache-references, 100039778, 100.00, , 
     0.100119431, 25835190, , ldst_spec, 100038408, 100.00, , 
     0.201099960, 8787, , cache-misses, 100901462, 100.00, 0.036, of all cache refs
     0.201099960, 24616274, , cache-references, 100898629, 100.00, , 
     0.201099960, 25959048, , ldst_spec, 100897407, 100.00, , 
     0.301948694, 9010, , cache-misses, 100760888, 100.00, 0.037, of all cache refs
     0.301948694, 24578041, , cache-references, 100760425, 100.00, , 
     0.301948694, 25849083, , ldst_spec, 100760332, 100.00, , 
     0.402765078, 8838, , cache-misses, 100742294, 100.00, 0.036, of all cache refs
     0.402765078, 24559912, , cache-references, 100742739, 100.00, , 
     0.402765078, 25812522, , ldst_spec, 100742332, 100.00, , 
     0.503588924, 8846, , cache-misses, 100747944, 100.00, 0.036, of all cache refs
     0.503588924, 24569548, , cache-references, 100746758, 100.00, , 
     0.503588924, 25830813, , ldst_spec, 100746888, 100.00, , 
     0.604391881, 8582, , cache-misses, 100726703, 100.00, 0.035, of all cache refs
     0.604391881, 24591028, , cache-references, 100726369, 100.00, , 
     0.604391881, 25828950, , ldst_spec, 100726091, 100.00, , 
     0.705206579, 98521, , cache-misses, 100746296, 100.00, 0.386, of all cache refs
     0.705206579, 31352261, , cache-references, 100748759, 100.00, , 
     0.705206579, 44035515, , ldst_spec, 100749445, 100.00, , 
     0.806055758, 12464, , cache-misses, 100757220, 100.00, 0.049, of all cache refs
     0.806055758, 24618722, , cache-references, 100755850, 100.00, , 
     0.806055758, 26023333, , ldst_spec, 100755442, 100.00, , 
     0.906875512, 8840, , cache-misses, 100745075, 100.00, 0.035, of all cache refs
     0.906875512, 24577639, , cache-references, 100744779, 100.00, , 
     0.906875512, 25819145, , ldst_spec, 100744705, 100.00, , 
     1.007703599, 8704, , cache-misses, 100751980, 100.00, 0.034, of all cache refs
     1.007703599, 24581227, , cache-references, 100751073, 100.00, , 
     1.007703599, 25848027, , ldst_spec, 100751276, 100.00, , 
     1.108515426, 8469, , cache-misses, 100737780, 100.00, 0.034, of all cache refs
     1.108515426, 24562272, , cache-references, 100738150, 100.00, , 
     1.108515426, 25923481, , ldst_spec, 100738113, 100.00, , 
     1.209350958, 8809, , cache-misses, 100759794, 100.00, 0.035, of all cache refs
     1.209350958, 24573176, , cache-references, 100759368, 100.00, , 
     1.209350958, 26142809, , ldst_spec, 100759239, 100.00, , 
     1.310161322, 8905, , cache-misses, 100726279, 100.00, 0.035, of all cache refs
     1.310161322, 24573661, , cache-references, 100726724, 100.00, , 
     1.310161322, 26152942, , ldst_spec, 100726798, 100.00, , 
     1.410974391, 8804, , cache-misses, 100738055, 100.00, 0.035, of all cache refs
     1.410974391, 24571486, , cache-references, 100737906, 100.00, , 
     1.410974391, 26156423, , ldst_spec, 100738184, 100.00, , 
     1.511797663, 8790, , cache-misses, 100748814, 100.00, 0.035, of all cache refs
     1.511797663, 24585028, , cache-references, 100748518, 100.00, , 
     1.511797663, 26124150, , ldst_spec, 100747888, 100.00, , 
     1.612606991, 8682, , cache-misses, 100744593, 100.00, 0.035, of all cache refs
     1.612606991, 24598922, , cache-references, 100744797, 100.00, , 
     1.612606991, 26191967, , ldst_spec, 100744723, 100.00, , 
     1.713442466, 8916, , cache-misses, 100759890, 100.00, 0.036, of all cache refs
     1.713442466, 24576999, , cache-references, 100760408, 100.00, , 
     1.713442466, 26164640, , ldst_spec, 100760186, 100.00, , 
     1.814253720, 8859, , cache-misses, 100727574, 100.00, 0.036, of all cache refs
     1.814253720, 24576928, , cache-references, 100726612, 100.00, , 
     1.814253720, 26176703, , ldst_spec, 100727315, 100.00, , 
     1.915061714, 8886, , cache-misses, 100733408, 100.00, 0.036, of all cache refs
     1.915061714, 24572017, , cache-references, 100733629, 100.00, , 
     1.915061714, 26090109, , ldst_spec, 100733111, 100.00, , 
     2.015918893, 8859, , cache-misses, 100782850, 100.00, 0.036, of all cache refs
     2.015918893, 24592632, , cache-references, 100783092, 100.00, , 
     2.015918893, 26134470, , ldst_spec, 100783258, 100.00, , 
     2.116732332, 8901, , cache-misses, 100498499, 100.00, 0.036, of all cache refs
     2.116732332, 24478601, , cache-references, 100501795, 100.00, , 
     2.116732332, 25934461, , ldst_spec, 100502962, 100.00, , 
     2.217588696, 8809, , cache-misses, 100778796, 100.00, 0.035, of all cache refs
     2.217588696, 24573658, , cache-references, 100775536, 100.00, , 
     2.217588696, 25838975, , ldst_spec, 100774666, 100.00, , 
     2.317801293, 8778, , cache-misses, 100128741, 100.00, 0.035, of all cache refs
     2.317801293, 24415781, , cache-references, 100128167, 100.00, , 
     2.317801293, 25678496, , ldst_spec, 100127482, 100.00, , 
     2.418134258, 8857, , cache-misses, 100257760, 100.00, 0.036, of all cache refs
     2.418134258, 24446567, , cache-references, 100258223, 100.00, , 
     2.418134258, 25721620, , ldst_spec, 100258630, 100.00, , 
     2.518434908, 8867, , cache-misses, 100226184, 100.00, 0.036, of all cache refs
     2.518434908, 24438178, , cache-references, 100225777, 100.00, , 
     2.518434908, 25751523, , ldst_spec, 100226073, 100.00, , 
     2.618733818, 8971, , cache-misses, 100216280, 100.00, 0.036, of all cache refs
     2.618733818, 24469415, , cache-references, 100216687, 100.00, , 
     2.618733818, 25779396, , ldst_spec, 100216243, 100.00, , 
     2.719032006, 8796, , cache-misses, 100223037, 100.00, 0.035, of all cache refs
     2.719032006, 24426274, , cache-references, 100222592, 100.00, , 
     2.719032006, 25754075, , ldst_spec, 100222481, 100.00, , 
     2.819338786, 8778, , cache-misses, 100233092, 100.00, 0.035, of all cache refs
     2.819338786, 24423832, , cache-references, 100232778, 100.00, , 
     2.819338786, 25761551, , ldst_spec, 100233111, 100.00, , 
     2.919602863, 8740, , cache-misses, 100190092, 100.00, 0.035, of all cache refs
     2.919602863, 24420583, , cache-references, 100190314, 100.00, , 
     2.919602863, 25715839, , ldst_spec, 100190129, 100.00, , 
     3.019897402, 8798, , cache-misses, 100220073, 100.00, 0.036, of all cache refs
     3.019897402, 24424987, , cache-references, 100220407, 100.00, , 
     3.019897402, 25688442, , ldst_spec, 100220518, 100.00, , 
