     0.100122347, 2161, , cache-misses, 100050130, 100.00, 0.009, of all cache refs
     0.100122347, 24333990, , cache-references, 100064575, 100.00, , 
     0.100122347, 25920353, , ldst_spec, 100064742, 100.00, , 
     0.200423542, 1918, , cache-misses, 100231260, 100.00, 0.008, of all cache refs
     0.200423542, 24349657, , cache-references, 100211353, 100.00, , 
     0.200423542, 25919180, , ldst_spec, 100209612, 100.00, , 
     0.300730701, 2114, , cache-misses, 100231890, 100.00, 0.009, of all cache refs
     0.300730701, 24383014, , cache-references, 100231297, 100.00, , 
     0.300730701, 25919395, , ldst_spec, 100231093, 100.00, , 
     0.401027952, 1966, , cache-misses, 100233424, 100.00, 0.008, of all cache refs
     0.401027952, 24356845, , cache-references, 100233090, 100.00, , 
     0.401027952, 25887881, , ldst_spec, 100233720, 100.00, , 
     0.501352722, 1915, , cache-misses, 100258943, 100.00, 0.008, of all cache refs
     0.501352722, 24367958, , cache-references, 100258684, 100.00, , 
     0.501352722, 25873581, , ldst_spec, 100257961, 100.00, , 
     0.601640140, 2049, , cache-misses, 100214036, 100.00, 0.008, of all cache refs
     0.601640140, 24342991, , cache-references, 100213740, 100.00, , 
     0.601640140, 25866469, , ldst_spec, 100213611, 100.00, , 
     0.701927132, 1916, , cache-misses, 100222721, 100.00, 0.008, of all cache refs
     0.701927132, 24406250, , cache-references, 100222499, 100.00, , 
     0.701927132, 25842257, , ldst_spec, 100222703, 100.00, , 
     0.802228291, 1900, , cache-misses, 100235593, 100.00, 0.008, of all cache refs
     0.802228291, 24595827, , cache-references, 100235593, 100.00, , 
     0.802228291, 25818987, , ldst_spec, 100235537, 100.00, , 
     0.902513283, 2118, , cache-misses, 100184516, 100.00, 0.009, of all cache refs
     0.902513283, 24581668, , cache-references, 100185164, 100.00, , 
     0.902513283, 25801474, , ldst_spec, 100185220, 100.00, , 
     1.002788017, 1909, , cache-misses, 100209019, 100.00, 0.008, of all cache refs
     1.002788017, 24601491, , cache-references, 100208649, 100.00, , 
     1.002788017, 25804726, , ldst_spec, 100208722, 100.00, , 
     1.103067861, 1935, , cache-misses, 100216093, 100.00, 0.008, of all cache refs
     1.103067861, 24571632, , cache-references, 100216092, 100.00, , 
     1.103067861, 25826469, , ldst_spec, 100215778, 100.00, , 
     1.203386112, 1880, , cache-misses, 100254647, 100.00, 0.008, of all cache refs
     1.203386112, 24600430, , cache-references, 100254518, 100.00, , 
     1.203386112, 25880606, , ldst_spec, 100254685, 100.00, , 
     1.303668882, 1903, , cache-misses, 100217591, 100.00, 0.008, of all cache refs
     1.303668882, 24592816, , cache-references, 100217257, 100.00, , 
     1.303668882, 25885648, , ldst_spec, 100217257, 100.00, , 
     1.403952004, 2081, , cache-misses, 100210666, 100.00, 0.009, of all cache refs
     1.403952004, 24565886, , cache-references, 100211092, 100.00, , 
     1.403952004, 25775596, , ldst_spec, 100211092, 100.00, , 
     1.504235737, 1928, , cache-misses, 100220202, 100.00, 0.008, of all cache refs
     1.504235737, 24559438, , cache-references, 100220129, 100.00, , 
     1.504235737, 25899713, , ldst_spec, 100220165, 100.00, , 
     1.604507545, 1915, , cache-misses, 100207520, 100.00, 0.008, of all cache refs
     1.604507545, 24559132, , cache-references, 100207760, 100.00, , 
     1.604507545, 25875901, , ldst_spec, 100207464, 100.00, , 
     1.704777556, 2032, , cache-misses, 100198205, 100.00, 0.008, of all cache refs
     1.704777556, 24531514, , cache-references, 100198317, 100.00, , 
     1.704777556, 25841993, , ldst_spec, 100198298, 100.00, , 
     1.805050085, 1941, , cache-misses, 100208002, 100.00, 0.008, of all cache refs
     1.805050085, 24444681, , cache-references, 100207779, 100.00, , 
     1.805050085, 25758393, , ldst_spec, 100208409, 100.00, , 
     1.905326097, 2058, , cache-misses, 100184109, 100.00, 0.008, of all cache refs
     1.905326097, 24463380, , cache-references, 100183961, 100.00, , 
     1.905326097, 25706680, , ldst_spec, 100183610, 100.00, , 
     2.005596830, 1983, , cache-misses, 100198461, 100.00, 0.008, of all cache refs
     2.005596830, 24464497, , cache-references, 100198646, 100.00, , 
     2.005596830, 25700956, , ldst_spec, 100198609, 100.00, , 
     2.105773602, 1913, , cache-misses, 100112000, 100.00, 0.008, of all cache refs
     2.105773602, 24446377, , cache-references, 100111797, 100.00, , 
     2.105773602, 25714422, , ldst_spec, 100111463, 100.00, , 
     2.205943337, 1947, , cache-misses, 100105741, 100.00, 0.008, of all cache refs
     2.205943337, 24422871, , cache-references, 100105426, 100.00, , 
     2.205943337, 25694403, , ldst_spec, 100105796, 100.00, , 
     2.306100813, 1999, , cache-misses, 100092888, 100.00, 0.008, of all cache refs
     2.306100813, 24428670, , cache-references, 100093165, 100.00, , 
     2.306100813, 25756355, , ldst_spec, 100092851, 100.00, , 
     2.406257863, 1952, , cache-misses, 100092814, 100.00, 0.008, of all cache refs
     2.406257863, 24445347, , cache-references, 100092481, 100.00, , 
     2.406257863, 25669028, , ldst_spec, 100092500, 100.00, , 
     2.506423210, 1926, , cache-misses, 100101018, 100.00, 0.008, of all cache refs
     2.506423210, 24439732, , cache-references, 100101389, 100.00, , 
     2.506423210, 25644446, , ldst_spec, 100101592, 100.00, , 
     2.606579167, 1879, , cache-misses, 100091889, 100.00, 0.008, of all cache refs
     2.606579167, 24417002, , cache-references, 100092073, 100.00, , 
     2.606579167, 25643374, , ldst_spec, 100092147, 100.00, , 
     2.706736217, 1953, , cache-misses, 100092980, 100.00, 0.008, of all cache refs
     2.706736217, 24432469, , cache-references, 100092444, 100.00, , 
     2.706736217, 25740591, , ldst_spec, 100092129, 100.00, , 
     2.806903786, 1918, , cache-misses, 100103167, 100.00, 0.008, of all cache refs
     2.806903786, 24440104, , cache-references, 100103463, 100.00, , 
     2.806903786, 25858895, , ldst_spec, 100103519, 100.00, , 
     2.907062725, 1915, , cache-misses, 100094444, 100.00, 0.008, of all cache refs
     2.907062725, 24420047, , cache-references, 100094481, 100.00, , 
     2.907062725, 25825467, , ldst_spec, 100094332, 100.00, , 
     3.007218164, 2118, , cache-misses, 100058593, 100.00, 0.009, of all cache refs
     3.007218164, 24406793, , cache-references, 100058296, 100.00, , 
     3.007218164, 25821304, , ldst_spec, 100058556, 100.00, , 
     3.107383584, 1909, , cache-misses, 100101222, 100.00, 0.008, of all cache refs
     3.107383584, 24444446, , cache-references, 100101278, 100.00, , 
     3.107383584, 25913167, , ldst_spec, 100101574, 100.00, , 
     3.207538098, 1920, , cache-misses, 100090278, 100.00, 0.008, of all cache refs
     3.207538098, 24443598, , cache-references, 100090334, 100.00, , 
     3.207538098, 25843507, , ldst_spec, 100090001, 100.00, , 
     3.307692204, 1904, , cache-misses, 100089908, 100.00, 0.008, of all cache refs
