     0.100123303, 64400, , cache-misses, 100039592, 100.00, 0.070, of all cache refs
     0.100123303, 91904027, , cache-references, 100042518, 100.00, , 
     0.100123303, 97449245, , ldst_spec, 100042666, 100.00, , 
     0.201986395, 64794, , cache-misses, 101783723, 100.00, 0.070, of all cache refs
     0.201986395, 92913714, , cache-references, 101780834, 100.00, , 
     0.201986395, 98444548, , ldst_spec, 101779056, 100.00, , 
     0.303383178, 64626, , cache-misses, 101318554, 100.00, 0.070, of all cache refs
     0.303383178, 92817684, , cache-references, 101319516, 100.00, , 
     0.303383178, 98593139, , ldst_spec, 101318869, 100.00, , 
     0.404615613, 64829, , cache-misses, 101144057, 100.00, 0.070, of all cache refs
     0.404615613, 92616024, , cache-references, 101142706, 100.00, , 
     0.404615613, 98125177, , ldst_spec, 101142631, 100.00, , 
     0.505665606, 64635, , cache-misses, 100973501, 100.00, 0.070, of all cache refs
     0.505665606, 92881996, , cache-references, 100973075, 100.00, , 
     0.505665606, 98547410, , ldst_spec, 100973057, 100.00, , 
     0.606511213, 64520, , cache-misses, 100769389, 100.00, 0.070, of all cache refs
     0.606511213, 92910948, , cache-references, 100768463, 100.00, , 
     0.606511213, 98527346, , ldst_spec, 100768203, 100.00, , 
     0.707235081, 64197, , cache-misses, 100648350, 100.00, 0.069, of all cache refs
     0.707235081, 92367780, , cache-references, 100648535, 100.00, , 
     0.707235081, 98215278, , ldst_spec, 100648628, 100.00, , 
     0.808136465, 64616, , cache-misses, 100825315, 100.00, 0.070, of all cache refs
     0.808136465, 92976267, , cache-references, 100826075, 100.00, , 
     0.808136465, 98681265, , ldst_spec, 100825871, 100.00, , 
     0.909016479, 64646, , cache-misses, 100796371, 100.00, 0.070, of all cache refs
     0.909016479, 92775787, , cache-references, 100795204, 100.00, , 
     0.909016479, 98023217, , ldst_spec, 100795259, 100.00, , 
     1.009835753, 64663, , cache-misses, 100743647, 100.00, 0.070, of all cache refs
     1.009835753, 92289046, , cache-references, 100744240, 100.00, , 
     1.009835753, 97704632, , ldst_spec, 100744351, 100.00, , 
     1.110731989, 64138, , cache-misses, 100808756, 100.00, 0.069, of all cache refs
     1.110731989, 92230395, , cache-references, 100809718, 100.00, , 
     1.110731989, 98042190, , ldst_spec, 100809700, 100.00, , 
     1.211611892, 64776, , cache-misses, 100730148, 100.00, 0.070, of all cache refs
     1.211611892, 92493518, , cache-references, 100730259, 100.00, , 
     1.211611892, 98059439, , ldst_spec, 100730297, 100.00, , 
     1.312478240, 63817, , cache-misses, 100790035, 100.00, 0.069, of all cache refs
     1.312478240, 93453813, , cache-references, 100788554, 100.00, , 
     1.312478240, 99591000, , ldst_spec, 100788461, 100.00, , 
     1.413171627, 64794, , cache-misses, 100608832, 100.00, 0.070, of all cache refs
     1.413171627, 94912859, , cache-references, 100609165, 100.00, , 
     1.413171627, 101562548, , ldst_spec, 100608980, 100.00, , 
     1.514037011, 64566, , cache-misses, 100789722, 100.00, 0.069, of all cache refs
     1.514037011, 94879153, , cache-references, 100789852, 100.00, , 
     1.514037011, 101508196, , ldst_spec, 100789981, 100.00, , 
     1.614917729, 63951, , cache-misses, 100805795, 100.00, 0.069, of all cache refs
     1.614917729, 94810661, , cache-references, 100806147, 100.00, , 
     1.614917729, 101593793, , ldst_spec, 100806128, 100.00, , 
     1.715814206, 64989, , cache-misses, 100820852, 100.00, 0.070, of all cache refs
     1.715814206, 95247298, , cache-references, 100820481, 100.00, , 
     1.715814206, 101932017, , ldst_spec, 100820463, 100.00, , 
     1.816544963, 64960, , cache-misses, 100655276, 100.00, 0.070, of all cache refs
     1.816544963, 95351856, , cache-references, 100656424, 100.00, , 
     1.816544963, 101890946, , ldst_spec, 100656498, 100.00, , 
     1.917401107, 64307, , cache-misses, 100767408, 100.00, 0.069, of all cache refs
     1.917401107, 94929804, , cache-references, 100765872, 100.00, , 
     1.917401107, 101574494, , ldst_spec, 100765928, 100.00, , 
     2.017895571, 63994, , cache-misses, 100418352, 100.00, 0.068, of all cache refs
     2.017895571, 93858841, , cache-references, 100418778, 100.00, , 
     2.017895571, 100025444, , ldst_spec, 100418963, 100.00, , 
     2.118393925, 64165, , cache-misses, 100412519, 100.00, 0.069, of all cache refs
     2.118393925, 94471851, , cache-references, 100412778, 100.00, , 
     2.118393925, 100922450, , ldst_spec, 100412759, 100.00, , 
     2.218738965, 63865, , cache-misses, 100268982, 100.00, 0.068, of all cache refs
     2.218738965, 94218126, , cache-references, 100268000, 100.00, , 
     2.218738965, 100944901, , ldst_spec, 100267649, 100.00, , 
     2.319068284, 64815, , cache-misses, 100255647, 100.00, 0.069, of all cache refs
     2.319068284, 92847913, , cache-references, 100256147, 100.00, , 
     2.319068284, 100238873, , ldst_spec, 100256221, 100.00, , 
     2.419403918, 63982, , cache-misses, 100260666, 100.00, 0.069, of all cache refs
     2.419403918, 90935724, , cache-references, 100259944, 100.00, , 
     2.419403918, 97817231, , ldst_spec, 100259926, 100.00, , 
