     0.100237189, 11669, , cache-misses, 99945390, 100.00, 0.033, of all cache refs
     0.100237189, 35833832, , cache-references, 99974409, 100.00, , 
     0.100237189, 38563089, , ldst_spec, 99971039, 100.00, , 
     0.200714764, 11559, , cache-misses, 100281387, 100.00, 0.032, of all cache refs
     0.200714764, 35975989, , cache-references, 100249443, 100.00, , 
     0.200714764, 38525707, , ldst_spec, 100245813, 100.00, , 
     0.301060156, 11347, , cache-misses, 100155390, 100.00, 0.032, of all cache refs
     0.301060156, 36074376, , cache-references, 100153223, 100.00, , 
     0.301060156, 38531712, , ldst_spec, 100153501, 100.00, , 
     0.401457676, 5552, , cache-misses, 100164018, 100.00, 0.017, of all cache refs
     0.401457676, 21073733, , cache-references, 100166166, 100.00, , 
     0.401457676, 26275086, , ldst_spec, 100165629, 100.00, , 
     0.501816012, 47225, , cache-misses, 99890537, 100.00, 0.166, of all cache refs
     0.501816012, 12885299, , cache-references, 99889370, 100.00, , 
     0.501816012, 18228005, , ldst_spec, 99889703, 100.00, , 
     0.603931727, 60065, , cache-misses, 101294481, 100.00, 0.225, of all cache refs
     0.603931727, 18033282, , cache-references, 101296074, 100.00, , 
     0.603931727, 22306939, , ldst_spec, 101296352, 100.00, , 
     0.705776002, 12762, , cache-misses, 101076962, 100.00, 0.046, of all cache refs
     0.705776002, 36401723, , cache-references, 101075295, 100.00, , 
     0.705776002, 38962323, , ldst_spec, 101075499, 100.00, , 
     0.807532834, 13093, , cache-misses, 100999313, 100.00, 0.045, of all cache refs
     0.807532834, 36344382, , cache-references, 100999610, 100.00, , 
     0.807532834, 38925624, , ldst_spec, 100999776, 100.00, , 
     0.908972042, 12269, , cache-misses, 100634187, 100.00, 0.041, of all cache refs
     0.908972042, 36403488, , cache-references, 100634594, 100.00, , 
     0.908972042, 39118506, , ldst_spec, 100633668, 100.00, , 
     1.009343896, 11777, , cache-misses, 99812648, 100.00, 0.039, of all cache refs
     1.009343896, 36098547, , cache-references, 99811408, 100.00, , 
     1.009343896, 38775245, , ldst_spec, 99811519, 100.00, , 
     1.110014097, 12077, , cache-misses, 100142109, 100.00, 0.039, of all cache refs
     1.110014097, 36157938, , cache-references, 100142905, 100.00, , 
     1.110014097, 38887874, , ldst_spec, 100142887, 100.00, , 
     1.210341100, 11580, , cache-misses, 99910278, 100.00, 0.037, of all cache refs
     1.210341100, 36077492, , cache-references, 99908851, 100.00, , 
     1.210341100, 38897218, , ldst_spec, 99909148, 100.00, , 
     1.310656400, 11533, , cache-misses, 99822350, 100.00, 0.036, of all cache refs
     1.310656400, 36100916, , cache-references, 99823573, 100.00, , 
     1.310656400, 38865352, , ldst_spec, 99823498, 100.00, , 
     1.410974440, 11501, , cache-misses, 99899741, 100.00, 0.036, of all cache refs
     1.410974440, 36153403, , cache-references, 99898241, 100.00, , 
     1.410974440, 38803031, , ldst_spec, 99898056, 100.00, , 
     1.511345739, 13072, , cache-misses, 93329225, 100.00, 0.041, of all cache refs
     1.511345739, 33501021, , cache-references, 93335688, 100.00, , 
     1.511345739, 36046115, , ldst_spec, 93338021, 100.00, , 
     1.611732074, 11448, , cache-misses, 99490165, 100.00, 0.035, of all cache refs
     1.611732074, 35834730, , cache-references, 99485480, 100.00, , 
     1.611732074, 38626003, , ldst_spec, 99483628, 100.00, , 
     1.712059485, 11192, , cache-misses, 100138334, 100.00, 0.034, of all cache refs
     1.712059485, 36089246, , cache-references, 100137019, 100.00, , 
     1.712059485, 38875032, , ldst_spec, 100136482, 100.00, , 
     1.812406932, 11401, , cache-misses, 99902815, 100.00, 0.035, of all cache refs
     1.812406932, 36121215, , cache-references, 99902852, 100.00, , 
     1.812406932, 38716293, , ldst_spec, 99902964, 100.00, , 
     1.912731269, 11281, , cache-misses, 100134703, 100.00, 0.034, of all cache refs
     1.912731269, 36406895, , cache-references, 100134611, 100.00, , 
     1.912731269, 38629809, , ldst_spec, 100134203, 100.00, , 
     2.013044105, 11273, , cache-misses, 100126740, 100.00, 0.034, of all cache refs
     2.013044105, 36395217, , cache-references, 100126629, 100.00, , 
     2.013044105, 38597454, , ldst_spec, 100127277, 100.00, , 
     2.113411941, 11460, , cache-misses, 100156556, 100.00, 0.034, of all cache refs
     2.113411941, 36366619, , cache-references, 100156518, 100.00, , 
     2.113411941, 38600453, , ldst_spec, 100155963, 100.00, , 
     2.213725408, 11487, , cache-misses, 100038462, 100.00, 0.034, of all cache refs
     2.213725408, 36347211, , cache-references, 100038407, 100.00, , 
     2.213725408, 38535808, , ldst_spec, 100038092, 100.00, , 
     2.314035189, 11376, , cache-misses, 100127055, 100.00, 0.034, of all cache refs
     2.314035189, 36372499, , cache-references, 100126610, 100.00, , 
