     3.122102310, 104074741, , ldst_spec, 100175830, 100.00, , 
     3.222527784, 1486, , cache-misses, 100359280, 100.00, 0.002, of all cache refs
     3.222527784, 97869108, , cache-references, 100358595, 100.00, , 
     3.222527784, 104273034, , ldst_spec, 100358354, 100.00, , 
     3.322847111, 1376, , cache-misses, 100252963, 100.00, 0.001, of all cache refs
     3.322847111, 97692735, , cache-references, 100252926, 100.00, , 
     3.322847111, 104139398, , ldst_spec, 100253167, 100.00, , 
     3.423309454, 1508, , cache-misses, 100396723, 100.00, 0.002, of all cache refs
     3.423309454, 97696642, , cache-references, 100396667, 100.00, , 
     3.423309454, 104534858, , ldst_spec, 100396500, 100.00, , 
     3.523629374, 1434, , cache-misses, 100214444, 100.00, 0.001, of all cache refs
     3.523629374, 98092002, , cache-references, 100215037, 100.00, , 
     3.523629374, 104535407, , ldst_spec, 100214944, 100.00, , 
     3.624083218, 1542, , cache-misses, 100387574, 100.00, 0.002, of all cache refs
     3.624083218, 97804014, , cache-references, 100387110, 100.00, , 
     3.624083218, 104455048, , ldst_spec, 100387092, 100.00, , 
     3.724414416, 1567, , cache-misses, 100196703, 100.00, 0.002, of all cache refs
     3.724414416, 97656143, , cache-references, 100197130, 100.00, , 
     3.724414416, 104424566, , ldst_spec, 100197537, 100.00, , 
     3.824857000, 1468, , cache-misses, 100376594, 100.00, 0.001, of all cache refs
     3.824857000, 97968973, , cache-references, 100376168, 100.00, , 
     3.824857000, 104452379, , ldst_spec, 100375798, 100.00, , 
     3.925093903, 1629, , cache-misses, 100134796, 100.00, 0.002, of all cache refs
     3.925093903, 96988344, , cache-references, 100135241, 100.00, , 
     3.925093903, 103072607, , ldst_spec, 100135870, 100.00, , 
     4.025398620, 1458, , cache-misses, 100228406, 100.00, 0.001, of all cache refs
     4.025398620, 97054096, , cache-references, 100228072, 100.00, , 
     4.025398620, 102991907, , ldst_spec, 100227814, 100.00, , 
     4.125837854, 1713, , cache-misses, 100315539, 100.00, 0.002, of all cache refs
     4.125837854, 97199396, , cache-references, 100315965, 100.00, , 
     4.125837854, 102967922, , ldst_spec, 100315872, 100.00, , 
     4.226164404, 1458, , cache-misses, 100260202, 100.00, 0.001, of all cache refs
     4.226164404, 97125396, , cache-references, 100259850, 100.00, , 
     4.226164404, 103125166, , ldst_spec, 100259868, 100.00, , 
     4.326595711, 1397, , cache-misses, 100364669, 100.00, 0.001, of all cache refs
     4.326595711, 97168723, , cache-references, 100364965, 100.00, , 
     4.326595711, 103132804, , ldst_spec, 100364613, 100.00, , 
     4.426928613, 1520, , cache-misses, 100266889, 100.00, 0.002, of all cache refs
     4.426928613, 97131449, , cache-references, 100266667, 100.00, , 
