     0.100199533, 1336, , cache-misses, 100016237, 100.00, 0.003, of all cache refs
     0.100199533, 40226329, , cache-references, 100011570, 100.00, , 
     0.100199533, 42702756, , ldst_spec, 100010793, 100.00, , 
     0.200619654, 1275, , cache-misses, 100221572, 100.00, 0.003, of all cache refs
     0.200619654, 40115745, , cache-references, 100217573, 100.00, , 
     0.200619654, 42656587, , ldst_spec, 100214794, 100.00, , 
     0.300955740, 1297, , cache-misses, 100165446, 100.00, 0.003, of all cache refs
     0.300955740, 40321250, , cache-references, 100162853, 100.00, , 
     0.300955740, 42724710, , ldst_spec, 100162021, 100.00, , 
     0.401270734, 1250, , cache-misses, 100148020, 100.00, 0.003, of all cache refs
     0.401270734, 40235601, , cache-references, 100147835, 100.00, , 
     0.401270734, 42622297, , ldst_spec, 100147983, 100.00, , 
     0.501587264, 1436, , cache-misses, 99876556, 100.00, 0.004, of all cache refs
     0.501587264, 40473873, , cache-references, 99876612, 100.00, , 
     0.501587264, 42824625, , ldst_spec, 99876741, 100.00, , 
     0.601905591, 1330, , cache-misses, 100149110, 100.00, 0.003, of all cache refs
     0.601905591, 40614783, , cache-references, 100149165, 100.00, , 
     0.601905591, 43032624, , ldst_spec, 100148851, 100.00, , 
     0.702240233, 1228, , cache-misses, 100168629, 100.00, 0.003, of all cache refs
     0.702240233, 40446759, , cache-references, 100167906, 100.00, , 
     0.702240233, 42728695, , ldst_spec, 100167517, 100.00, , 
     0.802559689, 1388, , cache-misses, 100065683, 100.00, 0.003, of all cache refs
     0.802559689, 40283765, , cache-references, 100068128, 100.00, , 
     0.802559689, 42614910, , ldst_spec, 100068442, 100.00, , 
     0.902895034, 1332, , cache-misses, 100164368, 100.00, 0.003, of all cache refs
     0.902895034, 40477392, , cache-references, 100162424, 100.00, , 
     0.902895034, 42858908, , ldst_spec, 100162424, 100.00, , 
     1.003236342, 1283, , cache-misses, 100172556, 100.00, 0.003, of all cache refs
     1.003236342, 40370905, , cache-references, 100172445, 100.00, , 
     1.003236342, 42659752, , ldst_spec, 100172408, 100.00, , 
     1.103549836, 1271, , cache-misses, 100145832, 100.00, 0.003, of all cache refs
     1.103549836, 40890164, , cache-references, 100145128, 100.00, , 
     1.103549836, 42899797, , ldst_spec, 100144739, 100.00, , 
     1.203860700, 1295, , cache-misses, 100143518, 100.00, 0.003, of all cache refs
     1.203860700, 41096340, , cache-references, 100144166, 100.00, , 
     1.203860700, 43232952, , ldst_spec, 100144278, 100.00, , 
     1.304171917, 1290, , cache-misses, 100122443, 100.00, 0.003, of all cache refs
     1.304171917, 41038045, , cache-references, 100122388, 100.00, , 
     1.304171917, 43234057, , ldst_spec, 100122591, 100.00, , 
     1.404484188, 1349, , cache-misses, 100145129, 100.00, 0.003, of all cache refs
     1.404484188, 40250700, , cache-references, 100145407, 100.00, , 
     1.404484188, 42305616, , ldst_spec, 100144851, 100.00, , 
     1.504790516, 1191, , cache-misses, 100138500, 100.00, 0.003, of all cache refs
     1.504790516, 40602692, , cache-references, 100137573, 100.00, , 
     1.504790516, 42598951, , ldst_spec, 100137740, 100.00, , 
     1.605093362, 1335, , cache-misses, 100105869, 100.00, 0.003, of all cache refs
     1.605093362, 40336451, , cache-references, 100106129, 100.00, , 
     1.605093362, 42316797, , ldst_spec, 100106555, 100.00, , 
     1.705399300, 1261, , cache-misses, 100138501, 100.00, 0.003, of all cache refs
     1.705399300, 40767648, , cache-references, 100138611, 100.00, , 
     1.705399300, 42764853, , ldst_spec, 100138649, 100.00, , 
     1.805711276, 1255, , cache-misses, 100145724, 100.00, 0.003, of all cache refs
     1.805711276, 41056648, , cache-references, 100146169, 100.00, , 
     1.805711276, 43071411, , ldst_spec, 100145964, 100.00, , 
     1.906028158, 1234, , cache-misses, 100147369, 100.00, 0.003, of all cache refs
     1.906028158, 40838169, , cache-references, 100146517, 100.00, , 
     1.906028158, 42862228, , ldst_spec, 100146629, 100.00, , 
     2.006334801, 1287, , cache-misses, 100139074, 100.00, 0.003, of all cache refs
     2.006334801, 39663616, , cache-references, 100139315, 100.00, , 
     2.006334801, 41837826, , ldst_spec, 100139129, 100.00, , 
     2.106663665, 1276, , cache-misses, 100162277, 100.00, 0.003, of all cache refs
     2.106663665, 38618935, , cache-references, 100162388, 100.00, , 
     2.106663665, 41087203, , ldst_spec, 100162092, 100.00, , 
     2.206976141, 1232, , cache-misses, 100145221, 100.00, 0.003, of all cache refs
     2.206976141, 38628377, , cache-references, 100145537, 100.00, , 
     2.206976141, 41059824, , ldst_spec, 100146092, 100.00, , 
     2.307284542, 1249, , cache-misses, 100139037, 100.00, 0.003, of all cache refs
     2.307284542, 38620104, , cache-references, 100138481, 100.00, , 
     2.307284542, 41046260, , ldst_spec, 100138370, 100.00, , 
     2.407611444, 1296, , cache-misses, 100157813, 100.00, 0.003, of all cache refs
     2.407611444, 38536033, , cache-references, 100157831, 100.00, , 
     2.407611444, 41151742, , ldst_spec, 100157739, 100.00, , 
     2.507911142, 1236, , cache-misses, 100133334, 100.00, 0.003, of all cache refs
     2.507911142, 38526394, , cache-references, 100133593, 100.00, , 
     2.507911142, 41164078, , ldst_spec, 100133630, 100.00, , 
     2.608216451, 1250, , cache-misses, 100137555, 100.00, 0.003, of all cache refs
     2.608216451, 38543553, , cache-references, 100137833, 100.00, , 
     2.608216451, 41186261, , ldst_spec, 100137833, 100.00, , 
     2.708520760, 1259, , cache-misses, 100115387, 100.00, 0.003, of all cache refs
     2.708520760, 38604659, , cache-references, 100115017, 100.00, , 
     2.708520760, 41082321, , ldst_spec, 100115091, 100.00, , 
     2.808822792, 1250, , cache-misses, 100133237, 100.00, 0.003, of all cache refs
     2.808822792, 38632595, , cache-references, 100133015, 100.00, , 
     2.808822792, 41072528, , ldst_spec, 100132867, 100.00, , 
     2.909127879, 1323, , cache-misses, 100136629, 100.00, 0.003, of all cache refs
     2.909127879, 38656153, , cache-references, 100137296, 100.00, , 
     2.909127879, 41024607, , ldst_spec, 100137314, 100.00, , 
     3.009437336, 1281, , cache-misses, 100119630, 100.00, 0.003, of all cache refs
     3.009437336, 39554778, , cache-references, 100119277, 100.00, , 
     3.009437336, 41838329, , ldst_spec, 100119296, 100.00, , 
     3.109739775, 1247, , cache-misses, 100133408, 100.00, 0.003, of all cache refs
     3.109739775, 40551906, , cache-references, 100133371, 100.00, , 
     3.109739775, 42700812, , ldst_spec, 100133130, 100.00, , 
     3.210068640, 1260, , cache-misses, 100161204, 100.00, 0.003, of all cache refs
     3.210068640, 40665442, , cache-references, 100161130, 100.00, , 
     3.210068640, 42589603, , ldst_spec, 100161038, 100.00, , 
     3.310343802, 1169, , cache-misses, 100152887, 100.00, 0.003, of all cache refs
     3.310343802, 69045869, , cache-references, 100146683, 100.00, , 
     3.310343802, 72497603, , ldst_spec, 100141275, 100.00, , 
     3.410499540, 1486, , cache-misses, 100009577, 100.00, 0.003, of all cache refs
     3.410499540, 100636556, , cache-references, 100009966, 100.00, , 
     3.410499540, 105924963, , ldst_spec, 100010078, 100.00, , 
     3.510671203, 1256, , cache-misses, 100103277, 100.00, 0.003, of all cache refs
     3.510671203, 101616137, , cache-references, 100102314, 100.00, , 
     3.510671203, 106474318, , ldst_spec, 100101887, 100.00, , 
     3.610825775, 1202, , cache-misses, 100087851, 100.00, 0.003, of all cache refs
     3.610825775, 101077633, , cache-references, 100088425, 100.00, , 
     3.610825775, 105780925, , ldst_spec, 100088796, 100.00, , 
     3.710980143, 1321, , cache-misses, 100087593, 100.00, 0.003, of all cache refs
     3.710980143, 101169667, , cache-references, 100087427, 100.00, , 
     3.710980143, 105986330, , ldst_spec, 100087186, 100.00, , 
     3.811145084, 1233, , cache-misses, 100098166, 100.00, 0.003, of all cache refs
     3.811145084, 101210633, , cache-references, 100098277, 100.00, , 
     3.811145084, 106602623, , ldst_spec, 100098388, 100.00, , 
     3.911303785, 1245, , cache-misses, 100091908, 100.00, 0.002, of all cache refs
     3.911303785, 100618223, , cache-references, 100091964, 100.00, , 
     3.911303785, 105960171, , ldst_spec, 100092075, 100.00, , 
     4.011463634, 1357, , cache-misses, 100092649, 100.00, 0.003, of all cache refs
     4.011463634, 99989072, , cache-references, 100092519, 100.00, , 
     4.011463634, 105762202, , ldst_spec, 100092205, 100.00, , 
     4.111628150, 1237, , cache-misses, 100098184, 100.00, 0.002, of all cache refs
     4.111628150, 99887787, , cache-references, 100098110, 100.00, , 
     4.111628150, 105616962, , ldst_spec, 100098165, 100.00, , 
     4.211784722, 1278, , cache-misses, 100088720, 100.00, 0.002, of all cache refs
     4.211784722, 100649260, , cache-references, 100088812, 100.00, , 
     4.211784722, 106392562, , ldst_spec, 100088794, 100.00, , 
     4.311956071, 1261, , cache-misses, 100104461, 100.00, 0.002, of all cache refs
     4.311956071, 99847281, , cache-references, 100104888, 100.00, , 
     4.311956071, 105615694, , ldst_spec, 100105072, 100.00, , 
     4.412111643, 1314, , cache-misses, 100081482, 100.00, 0.002, of all cache refs
     4.412111643, 98942559, , cache-references, 100081222, 100.00, , 
     4.412111643, 104737449, , ldst_spec, 100081112, 100.00, , 
     4.512265307, 1250, , cache-misses, 100087240, 100.00, 0.002, of all cache refs
     4.512265307, 99726744, , cache-references, 100086962, 100.00, , 
     4.512265307, 105621650, , ldst_spec, 100086832, 100.00, , 
     4.612417416, 1229, , cache-misses, 100085203, 100.00, 0.002, of all cache refs
     4.612417416, 99225588, , cache-references, 100085259, 100.00, , 
     4.612417416, 104910016, , ldst_spec, 100085314, 100.00, , 
     4.712569951, 1312, , cache-misses, 100077703, 100.00, 0.002, of all cache refs
     4.712569951, 98922132, , cache-references, 100077351, 100.00, , 
     4.712569951, 104577354, , ldst_spec, 100077314, 100.00, , 
     4.812727059, 1269, , cache-misses, 100091149, 100.00, 0.002, of all cache refs
     4.812727059, 100268862, , cache-references, 100091667, 100.00, , 
     4.812727059, 105877518, , ldst_spec, 100091964, 100.00, , 
     4.912886668, 1328, , cache-misses, 100092499, 100.00, 0.002, of all cache refs
     4.912886668, 99398622, , cache-references, 100093370, 100.00, , 
     4.912886668, 104850544, , ldst_spec, 100093573, 100.00, , 
     5.013044462, 1273, , cache-misses, 100081538, 100.00, 0.002, of all cache refs
     5.013044462, 100517569, , cache-references, 100080334, 100.00, , 
     5.013044462, 105889018, , ldst_spec, 100079686, 100.00, , 
     5.113469826, 1436, , cache-misses, 100341369, 100.00, 0.002, of all cache refs
     5.113469826, 101519352, , cache-references, 100344036, 100.00, , 
     5.113469826, 106479125, , ldst_spec, 100344925, 100.00, , 
     5.213693156, 1379, , cache-misses, 100153369, 100.00, 0.002, of all cache refs
     5.213693156, 101864876, , cache-references, 100151313, 100.00, , 
     5.213693156, 106650020, , ldst_spec, 100151091, 100.00, , 
     5.313857579, 1286, , cache-misses, 100097110, 100.00, 0.002, of all cache refs
     5.313857579, 101607341, , cache-references, 100097240, 100.00, , 
     5.313857579, 106615151, , ldst_spec, 100096999, 100.00, , 
     5.414018077, 1345, , cache-misses, 100094797, 100.00, 0.002, of all cache refs
     5.414018077, 101746088, , cache-references, 100095038, 100.00, , 
     5.414018077, 106478349, , ldst_spec, 100095223, 100.00, , 
     5.514196982, 1323, , cache-misses, 100113351, 100.00, 0.002, of all cache refs
     5.514196982, 101675839, , cache-references, 100112999, 100.00, , 
     5.514196982, 106166920, , ldst_spec, 100112851, 100.00, , 
     5.614361869, 1256, , cache-misses, 100098370, 100.00, 0.002, of all cache refs
     5.614361869, 101524129, , cache-references, 100098000, 100.00, , 
     5.614361869, 106115308, , ldst_spec, 100097907, 100.00, , 
     5.714522811, 1348, , cache-misses, 100094926, 100.00, 0.002, of all cache refs
     5.714522811, 102326650, , cache-references, 100095166, 100.00, , 
     5.714522811, 106965171, , ldst_spec, 100095055, 100.00, , 
     5.814691697, 1293, , cache-misses, 100102757, 100.00, 0.002, of all cache refs
     5.814691697, 102015955, , cache-references, 100103035, 100.00, , 
     5.814691697, 106631079, , ldst_spec, 100103517, 100.00, , 
     5.914852066, 1240, , cache-misses, 100095444, 100.00, 0.002, of all cache refs
     5.914852066, 100853467, , cache-references, 100095573, 100.00, , 
     5.914852066, 105509920, , ldst_spec, 100095166, 100.00, , 
     6.015013304, 1344, , cache-misses, 100095573, 100.00, 0.002, of all cache refs
     6.015013304, 100945322, , cache-references, 100094648, 100.00, , 
     6.015013304, 105938566, , ldst_spec, 100094537, 100.00, , 
     6.115181599, 1395, , cache-misses, 100102093, 100.00, 0.002, of all cache refs
     6.115181599, 99787627, , cache-references, 100102630, 100.00, , 
     6.115181599, 105222567, , ldst_spec, 100102722, 100.00, , 
     6.215342763, 1389, , cache-misses, 100087279, 100.00, 0.002, of all cache refs
     6.215342763, 99972494, , cache-references, 100087464, 100.00, , 
     6.215342763, 105437040, , ldst_spec, 100087667, 100.00, , 
     6.315503354, 1432, , cache-misses, 100083092, 100.00, 0.002, of all cache refs
     6.315503354, 99908995, , cache-references, 100082999, 100.00, , 
     6.315503354, 105129594, , ldst_spec, 100082870, 100.00, , 
     6.415673482, 1400, , cache-misses, 100092187, 100.00, 0.002, of all cache refs
     6.415673482, 100007954, , cache-references, 100091650, 100.00, , 
     6.415673482, 105142514, , ldst_spec, 100091576, 100.00, , 
     6.515843628, 1537, , cache-misses, 100073184, 100.00, 0.002, of all cache refs
     6.515843628, 99573965, , cache-references, 100073685, 100.00, , 
     6.515843628, 104699982, , ldst_spec, 100073574, 100.00, , 
     6.616001533, 1391, , cache-misses, 100080109, 100.00, 0.002, of all cache refs
     6.616001533, 100275956, , cache-references, 100079386, 100.00, , 
     6.616001533, 105286268, , ldst_spec, 100079442, 100.00, , 
     6.716158217, 1479, , cache-misses, 100071037, 100.00, 0.002, of all cache refs
     6.716158217, 100436419, , cache-references, 100071408, 100.00, , 
     6.716158217, 105340440, , ldst_spec, 100071240, 100.00, , 
     6.816315548, 1414, , cache-misses, 100080130, 100.00, 0.002, of all cache refs
     6.816315548, 99719006, , cache-references, 100080352, 100.00, , 
     6.816315548, 104754416, , ldst_spec, 100080538, 100.00, , 
     6.916478343, 1415, , cache-misses, 100085720, 100.00, 0.002, of all cache refs
     6.916478343, 100245645, , cache-references, 100085924, 100.00, , 
     6.916478343, 105341763, , ldst_spec, 100086146, 100.00, , 
     7.016639378, 1584, , cache-misses, 100059406, 100.00, 0.002, of all cache refs
     7.016639378, 100548484, , cache-references, 100058887, 100.00, , 
