     0.100119573, 5356, , cache-misses, 100048519, 100.00, 0.022, of all cache refs
     0.100119573, 24244001, , cache-references, 100046204, 100.00, , 
     0.100119573, 25457324, , ldst_spec, 100046779, 100.00, , 
     0.200367312, 5239, , cache-misses, 100176241, 100.00, 0.022, of all cache refs
     0.200367312, 24248189, , cache-references, 100173574, 100.00, , 
     0.200367312, 25443551, , ldst_spec, 100172444, 100.00, , 
     0.300555106, 5248, , cache-misses, 100122183, 100.00, 0.022, of all cache refs
     0.300555106, 24250106, , cache-references, 100121795, 100.00, , 
     0.300555106, 25429617, , ldst_spec, 100121017, 100.00, , 
     0.400735512, 5274, , cache-misses, 100112686, 100.00, 0.022, of all cache refs
     0.400735512, 24262674, , cache-references, 100111334, 100.00, , 
     0.400735512, 25464781, , ldst_spec, 100111408, 100.00, , 
     0.500901215, 5230, , cache-misses, 100100294, 100.00, 0.022, of all cache refs
     0.500901215, 24257504, , cache-references, 100099961, 100.00, , 
     0.500901215, 25446396, , ldst_spec, 100099831, 100.00, , 
     0.601059918, 5310, , cache-misses, 100085945, 100.00, 0.022, of all cache refs
     0.601059918, 24255891, , cache-references, 100086314, 100.00, , 
     0.601059918, 25436408, , ldst_spec, 100086278, 100.00, , 
     0.701218213, 5277, , cache-misses, 100092591, 100.00, 0.022, of all cache refs
     0.701218213, 24235044, , cache-references, 100092221, 100.00, , 
     0.701218213, 25356500, , ldst_spec, 100092128, 100.00, , 
     0.801375749, 5257, , cache-misses, 100093241, 100.00, 0.022, of all cache refs
     0.801375749, 24236724, , cache-references, 100093722, 100.00, , 
     0.801375749, 25333308, , ldst_spec, 100093926, 100.00, , 
     0.901534304, 5320, , cache-misses, 100086425, 100.00, 0.022, of all cache refs
     0.901534304, 24242267, , cache-references, 100086018, 100.00, , 
     0.901534304, 25386605, , ldst_spec, 100085777, 100.00, , 
     1.001694043, 5257, , cache-misses, 100095813, 100.00, 0.022, of all cache refs
     1.001694043, 24253767, , cache-references, 100095832, 100.00, , 
     1.001694043, 25384222, , ldst_spec, 100096036, 100.00, , 
     1.101854672, 5193, , cache-misses, 100094591, 100.00, 0.021, of all cache refs
     1.101854672, 24307228, , cache-references, 100094479, 100.00, , 
     1.101854672, 25671977, , ldst_spec, 100094275, 100.00, , 
     1.202010875, 5244, , cache-misses, 100092333, 100.00, 0.022, of all cache refs
     1.202010875, 24308996, , cache-references, 100092723, 100.00, , 
     1.202010875, 25632220, , ldst_spec, 100092723, 100.00, , 
     1.302168448, 5186, , cache-misses, 100092408, 100.00, 0.021, of all cache refs
     1.302168448, 24315884, , cache-references, 100092167, 100.00, , 
     1.302168448, 25608530, , ldst_spec, 100092148, 100.00, , 
     1.402332688, 5238, , cache-misses, 100099981, 100.00, 0.022, of all cache refs
     1.402332688, 24315074, , cache-references, 100099833, 100.00, , 
     1.402332688, 25676611, , ldst_spec, 100099648, 100.00, , 
     1.502488909, 5267, , cache-misses, 100077946, 100.00, 0.022, of all cache refs
     1.502488909, 24298915, , cache-references, 100077965, 100.00, , 
     1.502488909, 25599007, , ldst_spec, 100078298, 100.00, , 
     1.602647205, 5474, , cache-misses, 99875075, 100.00, 0.023, of all cache refs
     1.602647205, 24278810, , cache-references, 99875019, 100.00, , 
     1.602647205, 25489774, , ldst_spec, 99874797, 100.00, , 
     1.702813815, 5473, , cache-misses, 99878722, 100.00, 0.023, of all cache refs
     1.702813815, 24271330, , cache-references, 99878777, 100.00, , 
     1.702813815, 25500979, , ldst_spec, 99878981, 100.00, , 
     1.802967999, 5388, , cache-misses, 99888018, 100.00, 0.022, of all cache refs
     1.802967999, 24277838, , cache-references, 99887907, 100.00, , 
     1.802967999, 25433623, , ldst_spec, 99887722, 100.00, , 
     1.903123443, 5467, , cache-misses, 99890999, 100.00, 0.023, of all cache refs
     1.903123443, 24275627, , cache-references, 99891239, 100.00, , 
     1.903123443, 25512911, , ldst_spec, 99891499, 100.00, , 
     2.003289942, 5408, , cache-misses, 99892071, 100.00, 0.022, of all cache refs
     2.003289942, 24268891, , cache-references, 99892386, 100.00, , 
     2.003289942, 25514894, , ldst_spec, 99892441, 100.00, , 
     2.103448774, 5516, , cache-misses, 99884649, 100.00, 0.023, of all cache refs
     2.103448774, 24269282, , cache-references, 99884557, 100.00, , 
     2.103448774, 25596232, , ldst_spec, 99884538, 100.00, , 
     2.203608774, 5539, , cache-misses, 99849999, 100.00, 0.023, of all cache refs
     2.203608774, 24276617, , cache-references, 99849851, 100.00, , 
     2.203608774, 25615365, , ldst_spec, 99849851, 100.00, , 
     2.303775532, 5413, , cache-misses, 99897148, 100.00, 0.022, of all cache refs
     2.303775532, 24311069, , cache-references, 99897222, 100.00, , 
     2.303775532, 25531287, , ldst_spec, 99896926, 100.00, , 
